group,element,名前,Name,VR,VM,
0x0008, 0x0001,"","Length to End",,,RET
0x0008, 0x0005,"特定文字集合","Specific Character Set",CS,1-n,
0x0008, 0x0008,"画像タイプ","Image Type",CS,1-n,
0x0008, 0x0010,"","Recognition Code",,,RET
0x0008, 0x0012,"インスタンス作成日付","Instance Creation Date",DA,1,
0x0008, 0x0013,"インスタンス作成時刻","Instance Creation Time",TM,1,
0x0008, 0x0014,"インスタンス作成者ＵＩＤ","Instance Creator UID",UI,1,
0x0008, 0x0016,"ＳＯＰクラスＵＩＤ","SOP Class UID",UI,1,
0x0008, 0x0018,"ＳＯＰインスタンスＵＩＤ","SOP Instance UID",UI,1,
0x0008, 0x0020,"検査日付","Study Date",DA,1,
0x0008, 0x0021,"シリーズ日付","Series Date",DA,1,
0x0008, 0x0022,"収集日付","Acquisition Date",DA,1,
0x0008, 0x0023,"内容日付","Content Date",DA,1,
0x0008, 0x0024,"オーバレイ日付","Overlay Date",DA,1,
0x0008, 0x0025,"カーブ日付","Curve Date",DA,1,
0x0008, 0x002A,"収集日時","Acquisition Datetime",DT,1,
0x0008, 0x0030,"検査時刻","Study Time",TM,1,
0x0008, 0x0031,"シリーズ時刻","Series Time",TM,1,
0x0008, 0x0032,"収集時刻","Acquisition Time",TM,1,
0x0008, 0x0033,"内容時刻","Content Time",TM,1,
0x0008, 0x0034,"オーバレイ時刻","Overlay Time",TM,1,
0x0008, 0x0035,"カーブ時刻","Curve Time",TM,1,
0x0008, 0x0040,"","Data Set Type",,,RET
0x0008, 0x0041,"","Data Set Subtype",,,RET
0x0008, 0x0042,"","Nuclear Medicine Series Type",CS,1,RET
0x0008, 0x0050,"受付番号","Accession Number",SH,1,
0x0008, 0x0052,"問合せ／取得レベル","Query/Retrieve Level",CS,1,
0x0008, 0x0054,"取得ＡＥ名称","Retrieve AE Title",AE,1-n,
0x0008, 0x0056,"インスタンス入手可能性","Instance Availability",CS,1,
0x0008, 0x0058,"失敗ＳＯＰインスタンスＵＩＤリスト","Failed SOP Instance UID List",UI,1-n,
0x0008, 0x0060,"モダリティ","Modality",CS,1,
0x0008, 0x0061,"検査の中のモダリティ","Modalities in Study",CS,1-n,
0x0008, 0x0064,"変換形式","Conversion Type",CS,1,
0x0008, 0x0068,"提示意図タイプ","Presentation Intent Type",CS,1,
0x0008, 0x0070,"製造者","Manufacturer",LO,1,
0x0008, 0x0080,"施設名","Institution Name",LO,1,
0x0008, 0x0081,"施設住所","Institution Address",ST,1,
0x0008, 0x0082,"施設コードシーケンス","Institution Code Sequence",SQ,1,
0x0008, 0x0090,"照会医師の名前","Referring Physician's Name",PN,1,
0x0008, 0x0092,"照会医師の住所","Referring Physician's Address",ST,1,
0x0008, 0x0094,"照会医師の電話番号","Referring Physician's Telephone Numbers",SH,1-n,
0x0008, 0x0100,"コード値","Code Value",SH,1,
0x0008, 0x0102,"符号化体系指定子","Coding Scheme Designator",SH,1,
0x0008, 0x0103,"符号化体系版","Coding Scheme Version",SH,1,
0x0008, 0x0104,"コード意味","Code Meaning",LO,1,
0x0008, 0x0105,"写像資源","Mapping Resource",CS,1,
0x0008, 0x0106,"コンテキストグループ版","Context Group Version",DT,1,
0x0008, 0x0107,"コンテキストグループ局所版","Context Group Local Version",DT,1,
0x0008, 0x010B,"符号集合拡張フラグ","Code Set Extension Flag",CS,1,
0x0008, 0x010C,"私的符号化体系作成者ＵＩＤ","Private Coding Scheme Creator UID",UI,1,
0x0008, 0x010D,"符号集合拡張作成者ＵＩＤ","Code Set Extension Creator UID",UI,1,
0x0008, 0x010F,"コンテキスト識別子","Context Identifier",CS,1,
0x0008, 0x0201,"UTCからの時間帯オフセット","Timezone Offset From UTC",SH,1,
0x0008, 0x1000,"","Network ID",,,RET
0x0008, 0x1010,"ステーション名","Station Name",SH,1,
0x0008, 0x1030,"検査記述","Study Description",LO,1,
0x0008, 0x1032,"手続きコードシーケンス","Procedure Code Sequence",SQ,1,
0x0008, 0x103E,"シリーズ記述","Series Description",LO,1,
0x0008, 0x1040,"施設部門名","Institutional Department Name",LO,1,
0x0008, 0x1048,"記録担当医師","Physicians of Record",PN,1-n,
0x0008, 0x1050,"実施医師の名前","Performing Physician's Name",PN,1-n,
0x0008, 0x1060,"検査読影医師の名前","Name of  Physicians Reading Study",PN,1-n,
0x0008, 0x1070,"操作者の名前","Operators' Name",PN,1-n,
0x0008, 0x1080,"受診時診断記述","Admitting Diagnoses Description",LO,1-n,
0x0008, 0x1084,"受診時診断コードシーケンス","Admitting Diagnosis Code Sequence",SQ,1,
0x0008, 0x1090,"製造者のモデル名","Manufacturer's Model Name",LO,1,
0x0008, 0x1100,"参照結果シーケンス","Referenced Results Sequence",SQ,1,
0x0008, 0x1110,"参照検査シーケンス","Referenced Study Sequence",SQ,1,
0x0008, 0x1111,"参照検査構成要素シーケンス","Referenced Study Component Sequence",SQ,1,
0x0008, 0x1115,"参照シリーズシーケンス","Referenced Series Sequence",SQ,1,
0x0008, 0x1120,"参照患者シーケンス","Referenced Patient Sequence",SQ,1,
0x0008, 0x1125,"参照来院シーケンス","Referenced Visit Sequence",SQ,1,
0x0008, 0x1130,"参照オーバレイシーケンス","Referenced Overlay Sequence",SQ,1,
0x0008, 0x1140,"参照画像シーケンス","Referenced Image Sequence",SQ,1,
0x0008, 0x1145,"参照カーブシーケンス","Referenced Curve Sequence",SQ,1,
0x0008, 0x1150,"参照ＳＯＰクラスＵＩＤ","Referenced SOP Class UID",UI,1,
0x0008, 0x1155,"参照ＳＯＰインスタンスＵＩＤ","Referenced SOP Instance UID",UI,1,
0x0008, 0x115A,"サポートするＳＯＰクラス","SOP Classes Supported",UI,1-n,
0x0008, 0x1160,"参照フレーム番号","Referenced Frame Number",IS,1-n,
0x0008, 0x1195,"処理ＵＩＤ","Transaction UID",UI,1,
0x0008, 0x1197,"失敗理由","Failure Reason",US,1,
0x0008, 0x1198,"失敗ＳＯＰシーケンス","Failed SOP Sequence",SQ,1,
0x0008, 0x1199,"参照ＳＯＰシーケンス","Referenced SOP Sequence",SQ,1,
0x0008, 0x2110,"","Lossy Image Compression",CS,1,RET
0x0008, 0x2111,"導出記述","Derivation Description",ST,1,
0x0008, 0x2112,"発生源画像シーケンス","Source Image Sequence",SQ,1,
0x0008, 0x2120,"ステージ名","Stage Name",SH,1,
0x0008, 0x2122,"ステージ番号","Stage Number",IS,1,
0x0008, 0x2124,"ステージの数","Number of Stages",IS,1,
0x0008, 0x2128,"ビュー番号","View Number",IS,1,
0x0008, 0x2129,"イベントタイマの数","Number of Event Timers",IS,1,
0x0008, 0x212A,"ステージの中のビューの数","Number of Views in Stage",IS,1,
0x0008, 0x2130,"イベント経過時間","Event Elapsed Times",DS,1-n,
0x0008, 0x2132,"イベントタイマ名","Event Timer Names",LO,1-n,
0x0008, 0x2142,"開始トリム","Start Trim",IS,1,
0x0008, 0x2143,"停止トリム","Stop Trim",IS,1,
0x0008, 0x2144,"推奨表示フレーム率","Recommended Display Frame Rate",IS,1,
0x0008, 0x2200,"","Transducer Position",CS,1,RET
0x0008, 0x2204,"","Transducer Orientation",CS,1,RET
0x0008, 0x2208,"","Anatomic Structure",CS,1,RET
0x0008, 0x2218,"解剖学的領域シーケンス","Anatomic Region Sequence",SQ,1,
0x0008, 0x2220,"解剖学的領域修飾子シーケンス","Anatomic Region Modifier Sequence",SQ,1,
0x0008, 0x2228,"解剖学的主要構造シーケンス","Primary Anatomic Structure Sequence",SQ,1,
0x0008, 0x2229,"解剖学的構造，空間あるいは領域シーケンス","Anatomic Structure", Space or Region Sequence,SQ,1,
0x0008, 0x2230,"解剖学的主要構造修飾子シーケンス","Primary Anatomic Structure Modifier Sequence",SQ,1,
0x0008, 0x2240,"探触子位置シーケンス","Transducer Position Sequence",SQ,1,
0x0008, 0x2242,"探触子位置修飾子シーケンス","Transducer Position Modifier Sequence",SQ,1,
0x0008, 0x2244,"探触子向きシーケンス","Transducer Orientation Sequence",SQ,1,
0x0008, 0x2246,"探触子向き修飾子シーケンス","Transducer Orientation Modifier Sequence",SQ,1,
0x0008, 0x4000,"","Comments",,,RET
0x0010, 0x0010,"患者の名前","Patient's Name",PN,1,
0x0010, 0x0020,"患者ＩＤ","Patient ID",LO,1,
0x0010, 0x0021,"患者ＩＤの発行者","Issuer of Patient ID",LO,1,
0x0010, 0x0030,"患者の誕生日","Patient's Birth Date",DA,1,
0x0010, 0x0032,"患者の誕生時刻","Patient's Birth Time",TM,1,
0x0010, 0x0040,"患者の性別","Patient's Sex",CS,1,
0x0010, 0x0050,"患者の保険計画コードシーケンス","Patient's Insurance Plan Code Sequence",SQ,1,
0x0010, 0x1000,"患者の他のＩＤ","Other Patient IDs",LO,1-n,
0x0010, 0x1001,"患者の他の名前","Other Patient Names",PN,1-n,
0x0010, 0x1005,"患者の誕生名","Patient's Birth Name",PN,1,
0x0010, 0x1010,"患者の年齢","Patient's Age",AS,1,
0x0010, 0x1020,"患者の身長","Patient's Size",DS,1,
0x0010, 0x1030,"患者の体重","Patient's Weight",DS,1,
0x0010, 0x1040,"患者の住所","Patient's Address",LO,1,
0x0010, 0x1050,"","Insurance Plan Identification",,,RET
0x0010, 0x1060,"患者の母の誕生名","Patient's Mother's Birth Name",PN,1,
0x0010, 0x1080,"軍の階級","Military Rank",LO,1,
0x0010, 0x1081,"軍の部門","Branch of Service",LO,1,
0x0010, 0x1090,"診療記録所在識別子","Medical Record Locator",LO,1,
0x0010, 0x2000,"医学的注意事項","Medical Alerts",LO,1-n,
0x0010, 0x2110,"造影剤アレルギー","Contrast Allergies",LO,1-n,
0x0010, 0x2150,"居住の国","Country of Residence",LO,1,
0x0010, 0x2152,"居住の地域","Region of Residence",LO,1,
0x0010, 0x2154,"患者の電話番号","Patient's Telephone Numbers",SH,1-n,
0x0010, 0x2160,"民族グループ","Ethnic Group",SH,1,
0x0010, 0x2180,"職業","Occupation",SH,1,
0x0010, 0x21A0,"喫煙の状態","Smoking Status",CS,1,
0x0010, 0x21B0,"患者の追加病歴","Additional Patient History",LT,1,
0x0010, 0x21C0,"妊娠の状態","Pregnancy Status",US,1,
0x0010, 0x21D0,"最終月経日","Last Menstrual Date",DA,1,
0x0010, 0x21F0,"患者の宗教上の選択","Patient's Religious Preference",LO,1,
0x0010, 0x4000,"患者コメント","Patient Comments",LT,1,
0x0018, 0x0010,"造影剤／ボーラス剤","Contrast/Bolus Agent",LO,1,
0x0018, 0x0012,"造影剤／ボーラス剤シーケンス","Contrast/Bolus Agent Sequence",SQ,1,
0x0018, 0x0014,"造影剤／ボーラス剤投与経路シーケンス","Contrast/Bolus Administration Route Sequence",SQ,1,
0x0018, 0x0015,"検査部位","Body Part Examined",CS,1,
0x0018, 0x0020,"スキャニングシーケンス","Scanning Sequence",CS,1-n,
0x0018, 0x0021,"シーケンス変形","Sequence Variant",CS,1-n,
0x0018, 0x0022,"スキャンオプション","Scan Options",CS,1-n,
0x0018, 0x0023,"ＭＲ収集タイプ","MR Acquisition Type",CS,1,
0x0018, 0x0024,"シーケンス名","Sequence Name",SH,1,
0x0018, 0x0025,"アンジオフラグ","Angio Flag",CS,1,
0x0018, 0x0026,"インターベンション薬剤情報シーケンス","Intervention Drug Information Sequence",SQ,1,
0x0018, 0x0027,"インターベンション薬剤停止時刻","Intervention Drug Stop Time",TM,1,
0x0018, 0x0028,"インターベンション薬剤投与量","Intervention Drug Dose",DS,1,
0x0018, 0x0029,"インターベンション薬剤コードシーケンス","Intervention Drug Code Sequence",SQ,1,
0x0018, 0x002A,"追加薬剤シーケンス","Additional Drug Sequence",SQ,1,
0x0018, 0x0030,"","Radionuclide",LO,1-n,RET
0x0018, 0x0031,"放射性医薬品","Radiopharmaceutical",LO,1,
0x0018, 0x0032,"","Energy Window Centerline",DS,1,RET
0x0018, 0x0033,"","Energy Window Total Width",DS,1-n,RET
0x0018, 0x0034,"インターベンション薬剤名","Intervention Drug Name",LO,1,
0x0018, 0x0035,"インターベンション薬剤開始時刻","Intervention Drug Start Time",TM,1,
0x0018, 0x0036,"インターベンション治療シーケンス","Interventional Therapy Sequence",SQ,1,
0x0018, 0x0037,"治療タイプ","Therapy Type",CS,1,
0x0018, 0x0038,"インターベンション状態","Interventional Status",CS,1,
0x0018, 0x0039,"治療記述","Therapy Description",CS,1,
0x0018, 0x0040,"シネ速度","Cine Rate ",IS,1,
0x0018, 0x0050,"スライス厚さ","Slice Thickness",DS,1,
0x0018, 0x0060,"ＫＶＰ","KVP",DS,1,
0x0018, 0x0070,"積算カウント","Counts Accumulated",IS,1,
0x0018, 0x0071,"収集終了条件","Acquisition Termination Condition",CS,1,
0x0018, 0x0072,"実効シリーズ持続時間","Effective Series Duration",DS,1,
0x0018, 0x0073,"収集開始条件","Acquisition Start Condition",CS,1,
0x0018, 0x0074,"収集開始条件データ","Acquisition Start Condition Data",IS,1,
0x0018, 0x0075,"収集終了条件データ","Acquisition Termination Condition Data",IS,1,
0x0018, 0x0080,"反復時間","Repetition Time",DS,1,
0x0018, 0x0081,"エコー時間","Echo Time",DS,1,
0x0018, 0x0082,"反転時間","Inversion Time",DS,1,
0x0018, 0x0083,"平均化の回数","Number of Averages",DS,1,
0x0018, 0x0084,"画像周波数","Imaging Frequency",DS,1,
0x0018, 0x0085,"画像原子核","Imaged Nucleus",SH,1,
0x0018, 0x0086,"エコー番号","Echo Numbers",IS,1-n,
0x0018, 0x0087,"磁場強度","Magnetic Field Strength",DS,1,
0x0018, 0x0088,"スライス間間隔","Spacing Between Slices",DS,1,
0x0018, 0x0089,"位相符号化ステップの数","Number of Phase Encoding Steps",IS,1,
0x0018, 0x0090,"データ採集直径","Data Collection Diameter",DS,1,
0x0018, 0x0091,"エコートレン長さ","Echo Train Length",IS,1,
0x0018, 0x0093,"サンプリング百分率","Percent Sampling",DS,1,
0x0018, 0x0094,"位相視野百分率","Percent Phase Field of View",DS,1,
0x0018, 0x0095,"画素バンド幅","Pixel Bandwidth",DS,1,
0x0018, 0x1000,"装置シリアル番号","Device Serial Number",LO,1,
0x0018, 0x1004,"プレートＩＤ","Plate ID",LO,1,
0x0018, 0x1010,"二次取得装置ＩＤ","Secondary Capture Device ID",LO,1,
0x0018, 0x1011,"ハードコピー作成装置ＩＤ","Hardcopy Creation Device ID",LO,1,
0x0018, 0x1012,"二次取得の日付","Date of Secondary Capture",DA,1,
0x0018, 0x1014,"二次取得の時刻","Time of Secondary Capture",TM,1,
0x0018, 0x1016,"二次取得装置製造者","Secondary Capture Device Manufacturer",LO,1,
0x0018, 0x1017,"ハードコピー装置製造者","Hardcopy Device Manufacturer",LO,1,
0x0018, 0x1018,"二次取得装置製造者のモデル名","Secondary Capture Device Manufacturer's Model Name",LO,1,
0x0018, 0x1019,"二次取得装置ソフトウェア版","Secondary Capture Device Software Versions",LO,1-n,
0x0018, 0x101A,"ハードコピー装置ソフトウェア版","Hardcopy Device Software Version",LO,1-n,
0x0018, 0x101B,"ハードコピー装置製造者のモデル名","Hardcopy Device Manfuacturer's Model Name",LO,1,
0x0018, 0x1020,"ソフトウェア版","Software Versions",LO,1-n,
0x0018, 0x1022,"取得ビデオ画像形式","Video Image Format Acquired",SH,1,
0x0018, 0x1023,"取得デジタル画像形式","Digital Image Format Acquired",LO,1,
0x0018, 0x1030,"プロトコル名","Protocol Name",LO,1,
0x0018, 0x1040,"造影剤／ボーラス経路","Contrast/Bolus Route",LO,1,
0x0018, 0x1041,"造影剤／ボーラス容量","Contrast/Bolus Volume",DS,1,
0x0018, 0x1042,"造影剤／ボーラス開始時刻","Contrast/Bolus Start Time ",TM,1,
0x0018, 0x1043,"造影剤／ボーラス停止時刻","Contrast/Bolus Stop Time ",TM,1,
0x0018, 0x1044,"造影剤／ボーラス全投与量","Contrast/Bolus Total Dose",DS,1,
0x0018, 0x1045,"注射器カウント","Syringe Counts",IS,1,
0x0018, 0x1046,"造影剤流量","Contrast Flow Rates",DS,1-n,
0x0018, 0x1047,"造影剤流れ期間","Contrast Flow Durations",DS,1-n,
0x0018, 0x1048,"造影剤／ボーラス成分","Contrast/Bolus Ingredient",CS,1,
0x0018, 0x1049,"造影剤／ボーラス成分濃度","Contrast/Bolus Ingredient Concentration",DS,1,
0x0018, 0x1050,"空間分解能","Spatial Resolution",DS,1,
0x0018, 0x1060,"トリガー時間","Trigger Time",DS,1,
0x0018, 0x1061,"トリガー源またはタイプ","Trigger Source or Type",LO,1,
0x0018, 0x1062,"公称Ｒ−Ｒ間隔","Nominal Interval",IS,1,
0x0018, 0x1063,"フレーム時間","Frame Time",DS,1,
0x0018, 0x1064,"フレーム化タイプ","Framing Type",LO,1,
0x0018, 0x1065,"フレーム時間ベクトル","Frame Time Vector",DS,1-n,
0x0018, 0x1066,"フレーム遅れ","Frame Delay",DS,1,
0x0018, 0x1067,"画像トリガー遅延","Image Trigger Delay",DS,1,
0x0018, 0x1068,"多重グループ時間オフセット","Multiplex Group Time Offset",DS,1,
0x0018, 0x1069,"トリガー時間オフセット","Trigger Time Offset",DS,1,
0x0018, 0x106A,"同期トリガー","Synchronization Trigger",CS,1,
0x0018, 0x106C,"同期チャネル","Synchronization Channel",US,2,
0x0018, 0x106E,"トリガーサンプル位置","Trigger Sample Position",UL,1,
0x0018, 0x1070,"","Radionuclide Route",LO,1-n,RET
0x0018, 0x1070,"放射性医薬品経路","Radiopharmaceutical Route",LO,1,
0x0018, 0x1071,"","Radionuclide Volume",DS,1-n,RET
0x0018, 0x1071,"放射性医薬品容積","Radiopharmaceutical Volume",DS,1,
0x0018, 0x1072,"","Radionuclide Start Time",TM,1-n,RET
0x0018, 0x1072,"放射性医薬品開始時刻","Radiopharmaceutical Start Time",TM,1,
0x0018, 0x1073,"","Radionuclide Stop Time",TM,1-n,RET
0x0018, 0x1073,"放射性医薬品停止時刻","Radiopharmaceutical Stop Time",TM,1,
0x0018, 0x1074,"","Radionuclide Total Dose",DS,1-n,RET
0x0018, 0x1074,"放射性核種総投与量","Radionuclide Total Dose",DS,1,
0x0018, 0x1075,"放射性核種半減期","Radionuclide Half Life",DS,1,
0x0018, 0x1076,"放射性核種陽電子放出割合","Radionuclide Positron Fraction",DS,1,
0x0018, 0x1077,"放射性医薬品比放射能","Radiopharmaceutical Specific Activity",DS,1,
0x0018, 0x1080,"拍動除去フラグ","Beat Rejection Flag",CS,1,
0x0018, 0x1081,"下限Ｒ−Ｒ値","Low R-R Value",IS,1,
0x0018, 0x1082,"上限Ｒ−Ｒ値","High R-R Value",IS,1,
0x0018, 0x1083,"取得間隔","Intervals Acquired",IS,1,
0x0018, 0x1084,"除去間隔","Intervals Rejected",IS,1,
0x0018, 0x1085,"ＰＶＣ除去","PVC Rejection",LO,1,
0x0018, 0x1086,"スキップ拍動","Skip Beats",IS,1,
0x0018, 0x1088,"心拍数","Heart Rate",IS,1,
0x0018, 0x1090,"心画像の数","Cardiac Number of Images",IS,1,
0x0018, 0x1094,"トリガーウインドウ","Trigger Window",IS,1,
0x0018, 0x1100,"再構成直径","Reconstruction Diameter",DS,1,
0x0018, 0x1110,"線源検出器間距離","Distance Source to Detector",DS,1,
0x0018, 0x1111,"線源患者間距離","Distance Source to Patient",DS,1,
0x0018, 0x1114,"推定Ｘ線撮影拡大率","Estimated Radiographic Magnification Factor",DS,1,
0x0018, 0x1120,"架台／検出器傾き","Gantry/Detector Tilt",DS,1,
0x0018, 0x1121,"ガントリ／検出器回転","Gantry/Detector Slew",DS,1,
0x0018, 0x1130,"テーブル高さ","Table Height",DS,1,
0x0018, 0x1131,"テーブル横移動","Table Traverse",DS,1,
0x0018, 0x1134,"テーブル動き","Table Motion",CS,1,
0x0018, 0x1135,"テーブル垂直増分","Table Vertical Increment",DS,1-n,
0x0018, 0x1136,"テーブル横方向増分","Table Lateral Increment",DS,1-n,
0x0018, 0x1137,"テーブル縦方向増分","Table Longitudinal Increment",DS,1-n,
0x0018, 0x1138,"テーブル角度","Table Angle",DS,1,
0x0018, 0x113A,"テーブルタイプ","Table Type",CS,1,
0x0018, 0x1140,"回転方向","Rotation Direction",CS,1,
0x0018, 0x1141,"角度位置","Angular Position",DS,1,
0x0018, 0x1142,"半径方向位置","Radial Position",DS,1-n,
0x0018, 0x1143,"スキャンアーク","Scan Arc",DS,1,
0x0018, 0x1144,"角度ステップ","Angular Step",DS,1,
0x0018, 0x1145,"回転中心のオフセット","Center of Rotation Offset",DS,1,
0x0018, 0x1146,"","Rotation Offset",DS,1-n,RET
0x0018, 0x1147,"視野の形状","Field of View Shape",CS,1,
0x0018, 0x1149,"視野の寸法","Field of View Dimensions",IS,1-2,
0x0018, 0x1150,"曝射時間","Exposure Time",IS,1,
0x0018, 0x1151,"Ｘ線管電流","X-ray Tube Current",IS,1,
0x0018, 0x1152,"曝射量","Exposure ",IS,1,
0x0018, 0x1153,"μAsでの曝射量","Exposure in uAs",IS,1,
0x0018, 0x1154,"平均パルス幅","Average Pulse Width",DS,1,
0x0018, 0x1155,"放射条件","Radiation Setting",CS,1,
0x0018, 0x1156,"整流タイプ","Rectification Type",CS,1,
0x0018, 0x115A,"放射モード","Radiation Mode",CS,1,
0x0018, 0x115E,"画像面積線量積","Image Area Dose Product",DS,1,
0x0018, 0x1160,"フィルタタイプ","Filter Type",SH,1,
0x0018, 0x1161,"フィルタのタイプ","Type of Filters",LO,1-n,
0x0018, 0x1162,"インテンシファイア寸法","Intensifier Size",DS,1,
0x0018, 0x1164,"画像受像器画素間隔","Imager Pixel Spacing",DS,2,
0x0018, 0x1166,"グリッド","Grid",CS,1,
0x0018, 0x1170,"発生装置出力","Generator Power",IS,1,
0x0018, 0x1180,"コリメータ／グリッド名","Collimator/grid Name ",SH,1,
0x0018, 0x1181,"コリメータタイプ","Collimator Type",CS,1,
0x0018, 0x1182,"焦点距離","Focal Distance",IS,1-2,
0x0018, 0x1183,"Ｘ焦点中心","X Focus Center",DS,1-2,
0x0018, 0x1184,"Ｙ焦点中心","Y Focus Center",DS,1-2,
0x0018, 0x1190,"焦点","Focal Spots",DS,1-n,
0x0018, 0x1191,"陽極ターゲット材料","Anode Target Material",CS,1,
0x0018, 0x11A0,"部位厚さ","Body Part Thickness",DS,1,
0x0018, 0x11A2,"圧迫力","Compression Force",DS,1,
0x0018, 0x1200,"最終較正の日付","Date of Last Calibration",DA,1-n,
0x0018, 0x1201,"最終較正の時刻","Time of Last Calibration",TM,1-n,
0x0018, 0x1210,"コンボリューションカーネル","Convolution Kernel",SH,1-n,
0x0018, 0x1240,"","Upper/Lower Pixel Values",,,RET
0x0018, 0x1242,"実フレーム持続時間","Actual Frame Duration",IS,1,
0x0018, 0x1243,"カウント率","Count Rate",IS,1,
0x0018, 0x1244,"好ましい再生順序制御","Preferred Playback Sequencing",US,1,
0x0018, 0x1250,"受信コイル","Receiving Coil",SH,1,
0x0018, 0x1251,"送信コイル","Transmitting Coil",SH,1,
0x0018, 0x1260,"プレートタイプ","Plate Type",SH,1,
0x0018, 0x1261,"蛍光体タイプ","Phosphor Type",LO,1,
0x0018, 0x1300,"スキャン速度","Scan Velocity",DS,1,
0x0018, 0x1301,"全身技術","Whole Body Technique",CS,1-n,
0x0018, 0x1302,"スキャン長さ","Scan Length",IS,1,
0x0018, 0x1310,"収集マトリックス","Acquisition Matrix",US,4,
0x0018, 0x1312,"位相符号化方向","Phase Encoding Direction",CS,1,
0x0018, 0x1314,"フリップ角","Flip Angle",DS,1,
0x0018, 0x1315,"可変フリップ角フラグ","Variable Flip Angle Flag",CS,1,
0x0018, 0x1316,"ＳＡＲ","SAR",DS,1,
0x0018, 0x1318,"ｄＢ／ｄｔ","dB/dt",DS,1,
0x0018, 0x1400,"収集装置処理記述","Acquisition Device Processing Description ",LO,1,
0x0018, 0x1401,"収集装置処理コード","Acquisition Device Processing Code",LO,1,
0x0018, 0x1402,"カセッテの向き","Cassette Orientation",CS,1,
0x0018, 0x1403,"カセッテサイズ","Cassette Size",CS,1,
0x0018, 0x1404,"プレート上の曝射量","Exposures on Plate",US,1,
0x0018, 0x1405,"相対Ｘ線曝射量","Relative X-ray Exposure",IS,1,
